Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity,,,,
BODY,0.002,0.001,-0.002,0,0,0,20.274,0.153,-0.002,0.0001,0.865,0,0.962,0,0,0,0,0,0,package://PONGBOT_Q_V1.5/meshes/BODY.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://PONGBOT_Q_V2.0/meshes/BODY.STL,,[Ass] Body-1,B2HR CN-1,B2HR CN3-1,[Ass]Hip_Roll-1,[Ass] HR_Rotator-1,B2HR CN-2,B2HR CN3-2,[Ass]Hip_Roll-2,[Ass] HR_Rotator-2,B2HR CN-3,B2HR CN3-3,[Ass]Hip_Roll-3,[Ass] HR_Rotator-3,B2HR CN-4,B2HR CN3-4,[Ass]Hip_Roll-4,[Ass] HR_Rotator-4,base_frame,,,,0,0,0,0,0,0,,0,0,0
RL_HIP,-0.003,-0.005,0.001,0,0,0,1.587,0.001,0,0,0.002,0,0.002,0,0,0,0,0,0,package://PONGBOT_Q_V1.5/meshes/RL_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://PONGBOT_Q_V2.0/meshes/RL_HIP.STL,,[Ass]Hip_Part_Pitch2_TBMS7615A-3,B2HR CN2-2,BR Cover-3,[Ass]HP_Rotator-2,RL_HR_frame,RL_HR_Axis,RL_HR_JOINT,continuous,-0.31804,0.1138,0,0,0,0,BODY,1,0,0,,,,,,,,,,,,,
RL_THIGH,0,-0.01,-0.038,0,0,0,3.32,0.028,0,0,0.028,-0.001,0.004,0,0,0,0,0,0,package://PONGBOT_Q_V1.5/meshes/RL_THIGH.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://PONGBOT_Q_V2.0/meshes/RL_THIGH.STL,,[Ass] Thigh_v1.2-2,RL_HP_frame,RL_HP_Axis,RL_HP_JOINT,continuous,0,0.105,0,0,0,0,RL_HIP,0,1,0,,,,,,,,,,,,,,,,
RL_CALF,0,0.003,-0.082,0,0,0,0.573,0.005,0,0,0.005,0,0,0,0,0,0,0,0,package://PONGBOT_Q_V1.5/meshes/RL_CALF.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://PONGBOT_Q_V2.0/meshes/RL_CALF.STL,,[Ass] Calf_left_v1.2-2,RL_KN_frame,RL_KN_Axis,RL_KN_JOINT,continuous,0,0,-0.305,0,0,0,RL_THIGH,0,1,0,,,,,,,,,,,,,,,,
RL_TIP,0,0,0.003,0,0,0,0.165,0,0,0,0,0,0,0,0,0,0,0,0,package://PONGBOT_Q_V1.5/meshes/RL_TIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://PONGBOT_Q_V2.0/meshes/RL_TIP.STL,,foot-4,RL_Tip_frame,,RL_TIP_JOINT,fixed,0,0,-0.28816,0,0,0,RL_CALF,0,0,0,,,,,,,,,,,,,,,,
RR_HIP,-0.003,0.005,0.001,0,0,0,1.587,0.001,0,0,0.002,0,0.002,0,0,0,0,0,0,package://PONGBOT_Q_V1.5/meshes/RR_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://PONGBOT_Q_V2.0/meshes/RR_HIP.STL,,[Ass]Hip_Part_Pitch2_TBMS7615A-5,B2HR CN2-4,BR Cover-5,[Ass]HP_Rotator-5,RR_HR_frame,RR_HR_Axis,RR_HR_JOINT,continuous,-0.31804,-0.1138,0,0,0,0,BODY,1,0,0,,,,,,,,,,,,,
RR_THIGH,0,0.01,-0.038,0,0,0,3.32,0.028,0,0,0.028,0.001,0.004,0,0,0,0,0,0,package://PONGBOT_Q_V1.5/meshes/RR_THIGH.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://PONGBOT_Q_V2.0/meshes/RR_THIGH.STL,,[Ass] Thigh_v1.2-5,RR_HP_frame,RR_HP_Axis,RR_HP_JOINT,continuous,0,-0.105,0,0,0,0,RR_HIP,0,1,0,,,,,,,,,,,,,,,,
RR_CALF,0,-0.003,-0.082,0,0,0,0.573,0.005,0,0,0.005,0,0,0,0,0,0,0,0,package://PONGBOT_Q_V1.5/meshes/RR_CALF.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://PONGBOT_Q_V2.0/meshes/RR_CALF.STL,,[Ass] Calf_right_v1.2-2,RR_KN_frame,RR_KN_Axis,RR_KN_JOINT,continuous,0,0,-0.305,0,0,0,RR_THIGH,0,1,0,,,,,,,,,,,,,,,,
RR_TIP,0,0,0.003,0,0,0,0.165,0,0,0,0,0,0,0,0,0,0,0,0,package://PONGBOT_Q_V1.5/meshes/RR_TIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://PONGBOT_Q_V2.0/meshes/RR_TIP.STL,,foot-3,RR_Tip_frame,,RR_TIP_JOINT,fixed,0,0,-0.28816,0,0,0,RR_CALF,0,0,0,,,,,,,,,,,,,,,,
FL_HIP,0.003,-0.005,0.001,0,0,0,1.587,0.001,0,0,0.002,0,0.002,0,0,0,0,0,0,package://PONGBOT_Q_V1.5/meshes/FL_HIP.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://PONGBOT_Q_V2.0/meshes/FL_HIP.STL,,[Ass]Hip_Part_Pitch2_TBMS7615A-2,B2HR CN2-1,BR Cover-2,[Ass]HP_Rotator-1,FL_HR_frame,FL_HR_Axis,FL_HR_JOINT,continuous,0.31804,0.1138,0,0,0,0,BODY,1,0,0,,,,,,,,,,,,,
